epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2305.57,0.57354,0.39728,1.2058,0.14551,0.13037,0.17141,0.08895,1.34361,8.12781,2.0513,0.000378053,0.000378053,0.000378053
61,2340.86,0.58163,0.41257,1.20466,0.15059,0.12298,0.1704,0.10139,1.43278,8.69791,2.19532,0.000369054,0.000369054,0.000369054
62,2376.51,0.57118,0.40308,1.20007,0.18908,0.12298,0.18963,0.10643,1.42094,8.48892,2.13691,0.000360055,0.000360055,0.000360055
63,2411.64,0.56533,0.40219,1.19778,0.23254,0.11327,0.17632,0.09324,1.61019,8.15962,2.34004,0.000351056,0.000351056,0.000351056
64,2446.18,0.57281,0.39565,1.20074,0.17753,0.1877,0.2157,0.12188,1.67429,8.19851,2.38758,0.000342057,0.000342057,0.000342057
65,2480.88,0.56787,0.40149,1.20082,0.26346,0.30421,0.28029,0.17305,1.52034,8.33683,2.11406,0.000333058,0.000333058,0.000333058
66,2515.09,0.5727,0.39744,1.20065,0.23009,0.26686,0.25469,0.13715,1.68252,9.63883,2.30307,0.000324058,0.000324058,0.000324058
67,2549.96,0.56565,0.39486,1.20082,0.18494,0.2589,0.22989,0.13402,1.49142,8.74813,2.15503,0.000315059,0.000315059,0.000315059
68,2583.48,0.57376,0.40036,1.20603,0.19338,0.19675,0.22815,0.12911,1.68268,9.68677,2.27197,0.00030606,0.00030606,0.00030606
69,2615.76,0.56739,0.39469,1.19711,0.23004,0.27832,0.26228,0.1618,1.63149,9.32253,2.20332,0.000297061,0.000297061,0.000297061
70,2648.47,0.56208,0.39418,1.19501,0.19409,0.13984,0.18716,0.1144,1.48466,8.79058,2.31599,0.000288062,0.000288062,0.000288062
